fullVisitorId,transactions,total_visitor_transactions,visitId,visitNumber,hitNumber,pagePath
1.02951E+16,1,1,1501549997,3,2,/google+redesign/drinkware/mugs+and+cups
1.02951E+16,1,1,1501549997,3,3,/google+redesign/bags/water+bottles+and+tumblers
1.02951E+16,1,1,1501549997,3,5,/google+redesign/bags/water+bottles+and+tumblers/quickview
1.02951E+16,1,1,1501549997,3,7,/basket.html
1.02951E+16,1,1,1501549997,3,8,/basket.html
1.02951E+16,1,1,1501549997,3,9,/signin.html
1.02951E+16,1,1,1501549997,3,10,/registersuccess.html
1.02951E+16,1,1,1501549997,3,11,/store.html
1.02951E+16,1,1,1501549997,3,12,/basket.html
1.02951E+16,1,1,1501549997,3,13,/google+redesign/bags/water+bottles+and+tumblers
1.02951E+16,1,1,1501549997,3,15,/google+redesign/bags/water+bottles+and+tumblers/quickview
1.02951E+16,1,1,1501549997,3,17,/google+redesign/shop+by+brand/google
1.02951E+16,1,1,1501549997,3,18,/store.html
1.02951E+16,1,1,1501549997,3,19,/google+redesign/apparel/men+s+t+shirts/google+toddler+short+sleeve+tee+red.axd
1.02951E+16,1,1,1501549997,3,20,/store.html
1.02951E+16,1,1,1501549997,3,21,/google+redesign/bags/water+bottles+and+tumblers
1.02951E+16,1,1,1501549997,3,22,/google+redesign/electronics/power
1.02951E+16,1,1,1501549997,3,23,/store.html
1.02951E+16,1,1,1501549997,3,25,/store.html/quickview
1.02951E+16,1,1,1501549997,3,27,/google+redesign/electronics/power/google+tube+power+bank.axd
1.02951E+16,1,1,1501549997,3,29,/basket.html
1.02951E+16,1,1,1501549997,3,31,/basket.html
1.02951E+16,1,1,1501549997,3,32,/yourinfo.html
1.02951E+16,1,1,1501549997,3,33,/payment.html
1.02951E+16,1,1,1501549997,3,34,/payment.html
1.02951E+16,1,1,1501549997,3,35,/basket.html
1.02951E+16,1,1,1501549997,3,37,/basket.html
1.02951E+16,1,1,1501549997,3,38,/basket.html
1.02951E+16,1,1,1501549997,3,39,/yourinfo.html
1.02951E+16,1,1,1501549997,3,40,/payment.html
1.02951E+16,1,1,1501549997,3,41,/payment.html
1.02951E+16,1,1,1501549997,3,42,/revieworder.html
1.02951E+16,1,1,1501549997,3,43,/ordercompleted.html
1.02951E+16,1,1,1501549997,3,44,/ordercompleted.html
1.42621E+16,2,3,1499123682,4,1,/home
1.42621E+16,2,3,1499123682,4,2,/google+redesign/apparel/mens/mens+t+shirts
1.42621E+16,2,3,1499123682,4,3,/store.html
1.42621E+16,2,3,1499123682,4,4,/store.html/quickview
1.42621E+16,2,3,1499123682,4,7,/store.html/quickview
1.42621E+16,2,3,1499123682,4,11,/google+redesign/apparel/womens/womens+outerwear
1.42621E+16,2,3,1499123682,4,12,/google+redesign/apparel/womens/womens+outerwear/quickview
1.42621E+16,2,3,1499123682,4,14,/google+redesign/apparel/womens/womens+outerwear/quickview
1.42621E+16,2,3,1499123682,4,17,/basket.html
1.42621E+16,2,3,1499123682,4,19,/basket.html
1.42621E+16,2,3,1499123682,4,20,/basket.html
1.42621E+16,2,3,1499123682,4,22,/basket.html
1.42621E+16,2,3,1499123682,4,23,/basket.html
1.42621E+16,2,3,1499123682,4,24,/yourinfo.html
1.42621E+16,2,3,1499123682,4,25,/yourinfo.html
1.42621E+16,2,3,1499123682,4,26,/payment.html
1.42621E+16,2,3,1499123682,4,27,/yourinfo.html
1.42621E+16,2,3,1499123682,4,28,/payment.html
1.42621E+16,2,3,1499123682,4,29,/payment.html
1.42621E+16,2,3,1499123682,4,30,/revieworder.html
1.42621E+16,2,3,1499123682,4,31,/ordercompleted.html
1.42621E+16,2,3,1499123682,4,32,/ordercompleted.html
1.42621E+16,2,3,1499123682,4,33,/google+redesign/apparel/mens/mens+t+shirts
1.42621E+16,2,3,1499123682,4,34,/basket.html
1.42621E+16,2,3,1499123682,4,35,/basket.html
1.42621E+16,2,3,1499123682,4,36,/yourinfo.html
1.42621E+16,2,3,1499123682,4,37,/payment.html
1.42621E+16,2,3,1499123682,4,38,/revieworder.html
1.42621E+16,2,3,1499123682,4,39,/ordercompleted.html
1.42621E+16,2,3,1499123682,4,40,/ordercompleted.html
1.42621E+16,,3,1500099419,5,1,/home
1.42621E+16,,3,1500099419,5,2,/asearch.html
1.42621E+16,,3,1500099419,5,3,/asearch.html/quickview
1.42621E+16,,3,1500099419,5,6,/basket.html
1.42621E+16,,3,1500099419,5,7,/google+redesign/drinkware/mugs+and+cups
1.42621E+16,,3,1500099419,5,8,/google+redesign/office/office+other
1.42621E+16,,3,1500099419,5,9,/google+redesign/accessories/housewares
1.42621E+16,,3,1500099419,5,10,/google+redesign/bags/water+bottles+and+tumblers
1.42621E+16,1,3,1500139462,6,1,/google+redesign/drinkware/mugs+and+cups
1.42621E+16,1,3,1500139462,6,2,/google+redesign/accessories/fun
1.42621E+16,1,3,1500139462,6,3,/google+redesign/accessories/fun/quickview
1.42621E+16,1,3,1500139462,6,5,/google+redesign/accessories/fun/quickview
1.42621E+16,1,3,1500139462,6,7,/google+redesign/accessories/housewares
1.42621E+16,1,3,1500139462,6,8,/asearch.html
1.42621E+16,1,3,1500139462,6,9,/asearch.html/quickview
1.42621E+16,1,3,1500139462,6,12,/google+redesign/bags/totes/google+travels+slim+utility+travel+bag.axd
1.42621E+16,1,3,1500139462,6,14,/google+redesign/bags/shopping+and+totes
1.42621E+16,1,3,1500139462,6,15,/google+redesign/accessories/housewares
1.42621E+16,1,3,1500139462,6,16,/google+redesign/accessories/housewares/quickview
1.42621E+16,1,3,1500139462,6,21,/basket.html
1.42621E+16,1,3,1500139462,6,22,/basket.html
1.42621E+16,1,3,1500139462,6,23,/signin.html
1.42621E+16,1,3,1500139462,6,24,/signin.html
1.42621E+16,1,3,1500139462,6,25,/signin.html
1.42621E+16,1,3,1500139462,6,26,/signin.html
1.42621E+16,1,3,1500139462,6,27,/basket.html
1.42621E+16,1,3,1500139462,6,28,/signin.html
1.42621E+16,1,3,1500139462,6,29,/basket.html
1.42621E+16,1,3,1500139462,6,30,/yourinfo.html
1.42621E+16,1,3,1500139462,6,31,/yourinfo.html
1.42621E+16,1,3,1500139462,6,32,/payment.html
1.42621E+16,1,3,1500139462,6,33,/revieworder.html
1.42621E+16,1,3,1500139462,6,34,/ordercompleted.html
1.42621E+16,1,3,1500139462,6,35,/ordercompleted.html
1.42621E+16,,3,1500447163,7,1,/signin.html
1.42621E+16,,3,1500486484,8,1,/signin.html
2.49326E+16,2,2,1500744389,2,1,/home
2.49326E+16,2,2,1500744389,2,2,/basket.html
2.49326E+16,2,2,1500744389,2,3,/basket.html
2.49326E+16,2,2,1500744389,2,4,/basket.html
2.49326E+16,2,2,1500744389,2,6,/basket.html
2.49326E+16,2,2,1500744389,2,7,/signin.html
2.49326E+16,2,2,1500744389,2,8,/signin.html
2.49326E+16,2,2,1500744389,2,9,/yourinfo.html
2.49326E+16,2,2,1500744389,2,10,/payment.html
2.49326E+16,2,2,1500744389,2,11,/revieworder.html
2.49326E+16,2,2,1500744389,2,12,/ordercompleted.html
2.49326E+16,2,2,1500744389,2,13,/ordercompleted.html
2.49326E+16,2,2,1500744389,2,14,/home
2.49326E+16,2,2,1500744389,2,15,/google+redesign/shop+by+brand/google
2.49326E+16,2,2,1500744389,2,16,/google+redesign/apparel/headgear
2.49326E+16,2,2,1500744389,2,17,/google+redesign/apparel/headgear/quickview
2.49326E+16,2,2,1500744389,2,20,/google+redesign/apparel/mens
2.49326E+16,2,2,1500744389,2,21,/google+redesign/apparel/mens/quickview
2.49326E+16,2,2,1500744389,2,25,/google+redesign/apparel/mens/quickview
2.49326E+16,2,2,1500744389,2,27,/basket.html
2.49326E+16,2,2,1500744389,2,28,/signin.html
2.49326E+16,2,2,1500744389,2,29,/yourinfo.html
2.49326E+16,2,2,1500744389,2,30,/payment.html
2.49326E+16,2,2,1500744389,2,31,/revieworder.html
2.49326E+16,2,2,1500744389,2,32,/ordercompleted.html
2.49326E+16,2,2,1500744389,2,33,/ordercompleted.html
4.7079E+16,1,1,1501541991,1,1,/home
4.7079E+16,1,1,1501541991,1,2,/google+redesign/apparel/womens/womens+t+shirts
4.7079E+16,1,1,1501541991,1,3,/google+redesign/shop+by+brand/youtube
4.7079E+16,1,1,1501541991,1,5,/google+redesign/shop+by+brand/youtube/quickview
4.7079E+16,1,1,1501541991,1,6,/google+redesign/shop+by+brand/youtube/quickview
4.7079E+16,1,1,1501541991,1,10,/google+redesign/shop+by+brand/youtube/quickview
4.7079E+16,1,1,1501541991,1,12,/basket.html
4.7079E+16,1,1,1501541991,1,13,/google+redesign/office/writing+instruments
4.7079E+16,1,1,1501541991,1,15,/google+redesign/office/writing+instruments/quickview
4.7079E+16,1,1,1501541991,1,17,/basket.html
4.7079E+16,1,1,1501541991,1,18,/signin.html
4.7079E+16,1,1,1501541991,1,19,/basket.html
4.7079E+16,1,1,1501541991,1,20,/yourinfo.html
4.7079E+16,1,1,1501541991,1,21,/yourinfo.html
4.7079E+16,1,1,1501541991,1,22,/payment.html
4.7079E+16,1,1,1501541991,1,23,/payment.html
4.7079E+16,1,1,1501541991,1,24,/revieworder.html
4.7079E+16,1,1,1501541991,1,25,/ordercompleted.html
4.7079E+16,1,1,1501541991,1,26,/ordercompleted.html
4.7079E+16,1,1,1501541991,1,27,/google+redesign/accessories/stickers/home
4.7079E+16,1,1,1501541991,1,28,/google+redesign/electronics/audio
8.28069E+16,1,1,1501008172,1,1,/home
8.28069E+16,1,1,1501008172,1,2,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,4,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,7,/google+redesign/bags/backpacks/google+laptop+backpack.axd
8.28069E+16,1,1,1501008172,1,8,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,10,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,12,/google+redesign/bags/backpacks/waterproof+backpack.axd
8.28069E+16,1,1,1501008172,1,13,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,15,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,17,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,19,/google+redesign/bags/backpacks/google+laptop+backpack.axd
8.28069E+16,1,1,1501008172,1,20,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,22,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,24,/google+redesign/bags/backpacks/waterproof+backpack.axd
8.28069E+16,1,1,1501008172,1,25,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,26,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,29,/google+redesign/bags/backpacks/google+laptop+backpack.axd
8.28069E+16,1,1,1501008172,1,30,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,32,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,34,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,36,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,38,/google+redesign/bags/backpacks/google+laptop+backpack.axd
8.28069E+16,1,1,1501008172,1,39,/google+redesign/bags/backpacks/home
8.28069E+16,1,1,1501008172,1,40,/google+redesign/bags/backpacks//quickview
8.28069E+16,1,1,1501008172,1,43,/google+redesign/bags/backpacks/waterproof+backpack.axd
8.28069E+16,1,1,1501008172,1,45,/basket.html
8.28069E+16,1,1,1501008172,1,46,/signin.html
8.28069E+16,1,1,1501008172,1,47,/registersuccess.html
8.28069E+16,1,1,1501008172,1,48,/store.html
8.28069E+16,1,1,1501008172,1,49,/basket.html
8.28069E+16,1,1,1501008172,1,50,/yourinfo.html
8.28069E+16,1,1,1501008172,1,51,/google+redesign/bags/water+bottles+and+tumblers
8.28069E+16,1,1,1501008172,1,52,/google+redesign/apparel/mens/mens+t+shirts
8.28069E+16,1,1,1501008172,1,53,/google+redesign/apparel/mens/mens+outerwear
8.28069E+16,1,1,1501008172,1,55,/google+redesign/apparel/mens/mens+outerwear/quickview
8.28069E+16,1,1,1501008172,1,57,/google+redesign/apparel/mens+outerwear/google+mens+zip+hoodie.axd
8.28069E+16,1,1,1501008172,1,59,/google+redesign/apparel/mens/mens+performance+wear
8.28069E+16,1,1,1501008172,1,60,/google+redesign/apparel/mens/mens+t+shirts
8.28069E+16,1,1,1501008172,1,61,/basket.html
8.28069E+16,1,1,1501008172,1,62,/basket.html
8.28069E+16,1,1,1501008172,1,64,/basket.html
8.28069E+16,1,1,1501008172,1,65,/yourinfo.html
8.28069E+16,1,1,1501008172,1,66,/payment.html
8.28069E+16,1,1,1501008172,1,67,/revieworder.html
8.28069E+16,1,1,1501008172,1,68,/ordercompleted.html
8.28069E+16,1,1,1501008172,1,69,/ordercompleted.html
8.28069E+16,1,1,1501008172,1,70,/myaccount.html?mode=vieworder
8.28069E+16,1,1,1501008172,1,71,/myaccount.html?mode=vieworderdetail
8.28069E+16,1,1,1501008172,1,72,/home
8.28069E+16,1,1,1501008172,1,73,/google+redesign/apparel/womens/womens+t+shirts
8.28069E+16,1,1,1501008172,1,75,/google+redesign/apparel/womens/womens+t+shirts/quickview
8.8658E+16,1,1,1499463211,1,1,/home
8.8658E+16,1,1,1499463211,1,2,/google+redesign/apparel/mens
8.8658E+16,1,1,1499463211,1,3,/google+redesign/apparel/mens/mens+outerwear
8.8658E+16,1,1,1499463211,1,4,/google+redesign/apparel/men+s+google+performance+dry+full+zip+jacket+black.axd
8.8658E+16,1,1,1499463211,1,5,/google+redesign/apparel/mens/mens+outerwear
8.8658E+16,1,1,1499463211,1,6,/google+redesign/apparel/google+men+s+google+softshell+jacket+bg.axd
8.8658E+16,1,1,1499463211,1,7,/google+redesign/apparel/mens/mens+outerwear
8.8658E+16,1,1,1499463211,1,8,/basket.html
8.8658E+16,1,1,1499463211,1,9,/yourinfo.html
8.8658E+16,1,1,1499463211,1,10,/payment.html
8.8658E+16,1,1,1499463211,1,11,/payment.html
8.8658E+16,1,1,1499463211,1,12,/revieworder.html
8.8658E+16,1,1,1499463211,1,13,/ordercompleted.html
8.8658E+16,1,1,1499463211,1,14,/ordercompleted.html
9.7372E+16,1,1,1501245017,11,1,/home
9.7372E+16,1,1,1501245017,11,2,/google+redesign/bags/shopping+and+totes
9.7372E+16,1,1,1501245017,11,3,/google+redesign/bags/shopping+and+totes/quickview
9.7372E+16,1,1,1501245017,11,6,/google+redesign/bags/totes/collapsible+shopping+bag.axd
9.7372E+16,1,1,1501245017,11,8,/google+redesign/office/writing+instruments
9.7372E+16,1,1,1501245017,11,9,/google+redesign/office
9.7372E+16,1,1,1501245017,11,10,/google+redesign/office/writing/ballpoint+stylus+pen.axd
9.7372E+16,1,1,1501245017,11,12,/basket.html
9.7372E+16,1,1,1501245017,11,13,/signin.html
9.7372E+16,1,1,1501245017,11,14,/yourinfo.html
9.7372E+16,1,1,1501245017,11,15,/payment.html
9.7372E+16,1,1,1501245017,11,16,/revieworder.html
9.7372E+16,1,1,1501245017,11,17,/ordercompleted.html
9.7372E+16,1,1,1501245017,11,18,/ordercompleted.html
9.75638E+16,,1,1499895291,1,1,/home
9.75638E+16,,1,1499895291,1,2,/home
9.75638E+16,,1,1499895291,1,3,/google+redesign/apparel/mens/mens+t+shirts
9.75638E+16,,1,1499895291,1,5,/google+redesign/apparel/mens/mens+t+shirts/quickview
9.75638E+16,1,1,1499923628,2,1,/basket.html
9.75638E+16,1,1,1499923628,2,2,/google+redesign/apparel/mens/mens+t+shirts
9.75638E+16,1,1,1499923628,2,3,/signin.html
9.75638E+16,1,1,1499923628,2,4,/store.html
9.75638E+16,1,1,1499923628,2,5,/google+redesign/apparel/mens/mens+t+shirts
9.75638E+16,1,1,1499923628,2,7,/google+redesign/apparel/mens/mens+t+shirts/quickview
9.75638E+16,1,1,1499923628,2,9,/basket.html
9.75638E+16,1,1,1499923628,2,10,/basket.html
9.75638E+16,1,1,1499923628,2,11,/yourinfo.html
9.75638E+16,1,1,1499923628,2,12,/yourinfo.html
9.75638E+16,1,1,1499923628,2,13,/payment.html
9.75638E+16,1,1,1499923628,2,14,/payment.html
9.75638E+16,1,1,1499923628,2,15,/revieworder.html
9.75638E+16,1,1,1499923628,2,16,/ordercompleted.html
9.75638E+16,1,1,1499923628,2,17,/ordercompleted.html
1.12713E+17,1,1,1499960261,2,1,/home
1.12713E+17,1,1,1499960261,2,2,/signin.html
1.12713E+17,1,1,1499960261,2,3,/store.html
1.12713E+17,1,1,1499960261,2,4,/basket.html
1.12713E+17,1,1,1499960261,2,6,/basket.html
1.12713E+17,1,1,1499960261,2,8,/basket.html
1.12713E+17,1,1,1499960261,2,10,/basket.html
1.12713E+17,1,1,1499960261,2,12,/basket.html
1.12713E+17,1,1,1499960261,2,14,/basket.html
1.12713E+17,1,1,1499960261,2,16,/basket.html
1.12713E+17,1,1,1499960261,2,17,/basket.html
1.12713E+17,1,1,1499960261,2,19,/basket.html
1.12713E+17,1,1,1499960261,2,20,/yourinfo.html
1.12713E+17,1,1,1499960261,2,21,/payment.html
1.12713E+17,1,1,1499960261,2,22,/payment.html
1.12713E+17,1,1,1499960261,2,23,/revieworder.html
1.12713E+17,1,1,1499960261,2,24,/ordercompleted.html
1.12713E+17,1,1,1499960261,2,25,/ordercompleted.html
1.12713E+17,,1,1500043151,3,1,/home
1.2883E+17,,1,1500308721,3,1,/home
1.2883E+17,,1,1500308721,3,2,/google+redesign/apparel/kids/kids+youth
1.2883E+17,,1,1500308721,3,4,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,,1,1500308721,3,6,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,,1,1500308721,3,8,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,,1,1500308721,3,10,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,,1,1500308721,3,11,/signin.html
1.2883E+17,,1,1500308721,3,12,/store.html
1.2883E+17,,1,1500308721,3,13,/google+redesign/apparel/kids/kids+youth
1.2883E+17,,1,1500308721,3,15,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,,1,1500308721,3,17,/google+redesign/apparel/kids/kids+youth/google+youth+short+sleeve+tshirt+royal+blue.axd
1.2883E+17,,1,1500308721,3,18,/google+redesign/apparel/kids/kids+youth
1.2883E+17,,1,1500308721,3,19,/myaccount.html?mode=billingaddress
1.2883E+17,,1,1500308721,3,20,/myaccount.html?mode=vieworder
1.2883E+17,,1,1500308721,3,21,/myaccount.html?mode=vieworderdetail
1.2883E+17,1,1,1500311886,4,1,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,1,1,1500311886,4,5,/google+redesign/apparel/kids/kids+youth/quickview
1.2883E+17,1,1,1500311886,4,7,/google+redesign/apparel/headgear
1.2883E+17,1,1,1500311886,4,8,/google+redesign/shop+by+brand/google
1.2883E+17,1,1,1500311886,4,9,/signin.html
1.2883E+17,1,1,1500311886,4,10,/basket.html
1.2883E+17,1,1,1500311886,4,11,/google+redesign/accessories/fun
1.2883E+17,1,1,1500311886,4,12,/basket.html
1.2883E+17,1,1,1500311886,4,13,/yourinfo.html
1.2883E+17,1,1,1500311886,4,14,/payment.html
1.2883E+17,1,1,1500311886,4,15,/payment.html
1.2883E+17,1,1,1500311886,4,16,/store-policies/shipping-information/home
1.2883E+17,1,1,1500311886,4,17,/store-policies/frequently-asked-questions/home
1.2883E+17,1,1,1500311886,4,18,/revieworder.html
1.2883E+17,1,1,1500311886,4,19,/ordercompleted.html
1.2883E+17,1,1,1500311886,4,20,/ordercompleted.html
1.42116E+17,1,1,1499213904,1,1,/basket.html
1.42116E+17,1,1,1499213904,1,2,/store.html
1.42116E+17,1,1,1499213904,1,3,/google+redesign/apparel/mens
1.42116E+17,1,1,1499213904,1,4,/google+redesign/apparel/mens/quickview
1.42116E+17,1,1,1499213904,1,8,/google+redesign/bags/more+bags
1.42116E+17,1,1,1499213904,1,9,/google+redesign/bags/backpacks/home
1.42116E+17,1,1,1499213904,1,10,/google+redesign/bags/shopping+and+totes
1.42116E+17,1,1,1499213904,1,11,/google+redesign/drinkware
1.42116E+17,1,1,1499213904,1,12,/google+redesign/bags
1.42116E+17,1,1,1499213904,1,13,/google+redesign/office
1.42116E+17,1,1,1499213904,1,15,/google+redesign/office/quickview
1.42116E+17,1,1,1499213904,1,17,/google+redesign/accessories
1.42116E+17,1,1,1499213904,1,18,/basket.html
1.42116E+17,1,1,1499213904,1,19,/signin.html
1.42116E+17,1,1,1499213904,1,20,/basket.html
1.42116E+17,1,1,1499213904,1,21,/signin.html
1.42116E+17,1,1,1499213904,1,22,/registersuccess.html
1.42116E+17,1,1,1499213904,1,23,/store.html
1.42116E+17,1,1,1499213904,1,24,/basket.html
1.42116E+17,1,1,1499213904,1,25,/yourinfo.html
1.42116E+17,1,1,1499213904,1,26,/payment.html
1.42116E+17,1,1,1499213904,1,27,/revieworder.html
1.42116E+17,1,1,1499213904,1,28,/ordercompleted.html
1.42116E+17,1,1,1499213904,1,29,/ordercompleted.html
1.43783E+17,,1,1500745746,3,1,/google+redesign/apparel/women+s+google+quillted+insulated+vest+black.axd
1.43783E+17,,1,1500745746,3,2,/google+redesign/apparel/women+s+google+quillted+insulated+vest+black.axd
1.43783E+17,,1,1500745746,3,4,/basket.html
1.43783E+17,,1,1500745746,3,5,/signin.html
1.43783E+17,,1,1500745746,3,6,/basket.html
1.43783E+17,,1,1500745746,3,7,/yourinfo.html
1.43783E+17,,1,1500745746,3,8,/google+redesign/shop+by+brand/google
1.43783E+17,,1,1500745746,3,9,/basket.html
1.43783E+17,,1,1500745746,3,11,/basket.html
1.43783E+17,,1,1500745746,3,12,/google+redesign/apparel/headgear
1.43783E+17,,1,1500745746,3,13,/google+redesign/bags/water+bottles+and+tumblers
1.43783E+17,,1,1500745746,3,14,/basket.html
1.43783E+17,,1,1500745746,3,15,/google+redesign/apparel/mens/mens+t+shirts
1.43783E+17,,1,1500745746,3,16,/basket.html
1.43783E+17,,1,1500745746,3,17,/google+redesign/apparel/mens/mens+outerwear
1.43783E+17,,1,1500745746,3,19,/google+redesign/apparel/mens/mens+outerwear/quickview
1.43783E+17,,1,1500745746,3,21,/google+redesign/apparel/mens/mens+outerwear
1.43783E+17,,1,1500745746,3,22,/basket.html
1.43783E+17,,1,1500745746,3,23,/yourinfo.html
1.43783E+17,,1,1500745746,3,24,/yourinfo.html
1.43783E+17,,1,1500745746,3,25,/payment.html
1.43783E+17,,1,1500745746,3,26,/payment.html
1.43783E+17,1,1,1500759640,4,1,/basket.html
1.43783E+17,1,1,1500759640,4,2,/store.html
1.43783E+17,1,1,1500759640,4,3,/google+redesign/apparel/womens/womens+outerwear
1.43783E+17,1,1,1500759640,4,5,/google+redesign/apparel/womens/womens+outerwear/quickview
1.43783E+17,1,1,1500759640,4,7,/google+redesign/apparel/women+s+google+quillted+insulated+vest+black.axd
1.43783E+17,1,1,1500759640,4,8,/google+redesign/apparel/mens/mens+t+shirts
1.43783E+17,1,1,1500759640,4,9,/google+redesign/apparel/mens+tshirts/google+mens+bike+short+tee+charcoal.axd
1.43783E+17,1,1,1500759640,4,12,/google+redesign/nest/nest+usa/nest+learning+thermostat+3rd+gen+usa+stainless+steel.axd
1.43783E+17,1,1,1500759640,4,13,/basket.html
1.43783E+17,1,1,1500759640,4,14,/basket.html
1.43783E+17,1,1,1500759640,4,15,/signin.html
1.43783E+17,1,1,1500759640,4,16,/basket.html
1.43783E+17,1,1,1500759640,4,17,/yourinfo.html
1.43783E+17,1,1,1500759640,4,18,/payment.html
1.43783E+17,1,1,1500759640,4,19,/revieworder.html
1.43783E+17,1,1,1500759640,4,20,/ordercompleted.html
1.43783E+17,1,1,1500759640,4,21,/ordercompleted.html
1.63532E+17,2,2,1500079714,7,1,/basket.html
1.63532E+17,2,2,1500079714,7,2,/signin.html
1.63532E+17,2,2,1500079714,7,3,/store.html
1.63532E+17,2,2,1500079714,7,4,/google+redesign/apparel/kids/kids+youth
1.63532E+17,2,2,1500079714,7,6,/google+redesign/apparel/kids/kids+youth/quickview
1.63532E+17,2,2,1500079714,7,7,/google+redesign/apparel/kids/kids+youth/quickview
1.63532E+17,2,2,1500079714,7,9,/google+redesign/apparel/kids/kids+youth/quickview
1.63532E+17,2,2,1500079714,7,12,/google+redesign/shop+by+brand/youtube
1.63532E+17,2,2,1500079714,7,13,/google+redesign/office/writing+instruments
1.63532E+17,2,2,1500079714,7,14,/google+redesign/office/office+other
1.63532E+17,2,2,1500079714,7,15,/google+redesign/accessories/fun
1.63532E+17,2,2,1500079714,7,17,/google+redesign/accessories/fun/quickview
1.63532E+17,2,2,1500079714,7,20,/basket.html
1.63532E+17,2,2,1500079714,7,21,/basket.html
1.63532E+17,2,2,1500079714,7,22,/yourinfo.html
1.63532E+17,2,2,1500079714,7,23,/payment.html
1.63532E+17,2,2,1500079714,7,24,/payment.html
1.63532E+17,2,2,1500079714,7,25,/revieworder.html
1.63532E+17,2,2,1500079714,7,26,/ordercompleted.html
1.63532E+17,2,2,1500079714,7,27,/ordercompleted.html
1.63532E+17,2,2,1500079714,7,28,/google+redesign/apparel/mens/mens+outerwear
1.63532E+17,2,2,1500079714,7,29,/google+redesign/apparel/mens/mens+outerwear/quickview
1.63532E+17,2,2,1500079714,7,32,/google+redesign/apparel/mens/mens+outerwear/quickview
1.63532E+17,2,2,1500079714,7,33,/google+redesign/apparel/mens/mens+outerwear/quickview
1.63532E+17,2,2,1500079714,7,36,/google+redesign/apparel/mens/mens+t+shirts
